"","IP1","IP2","IP3","control4","control5","control6","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"gene-SAOUHSC_00841",569,623,512,1080,1217,157,589.163431153722,-0.544406404636766,0.257549572993164,-2.11379268973285,0.0345329776181168,0.0620687814106612
"gene-SAOUHSC_00842",13766,10680,13272,31012,54495,11185,21679.7791562063,-1.63113902169611,0.349446521143447,-4.66777868143814,3.04473614507339e-06,1.42416753816488e-05
"gene-SAOUHSC_00843",7360,5768,6732,10967,20568,3905,8665.58706302135,-1.08192285423839,0.339145854850768,-3.19014028555491,0.00142203746889673,0.00366679652139788
"gene-SAOUHSC_00844",15684,11241,15945,16810,37345,3109,13660.527688311,-0.344709418543707,0.351794873328795,-0.979859130071899,0.327155659525572,0.419622677940849
"gene-SAOUHSC_00845",69828,55312,37196,123636,130656,5875,53211.9633248443,-0.47862224409775,0.490202334143431,-0.976376917776379,0.328877715653398,0.421634152762378
"gene-SAOUHSC_00846",28609,30907,22260,15772,17838,5050,18419.9184863621,0.720000543773062,0.365684827712653,1.96891008105707,0.0489634177046309,0.0841682731071514
"gene-SAOUHSC_00847",55474,57460,42973,26928,26510,6124,31643.2911018338,1.15174580706732,0.295027388955706,3.90386062509011,9.46703127707154e-05,0.000315299304136733
"gene-SAOUHSC_00848",106484,99389,80084,44462,37274,8542,54405.7204176197,1.45524041643334,0.282924521246924,5.14356412098783,2.69574586072686e-07,1.60981250637306e-06
"gene-SAOUHSC_00849",118156,110417,90420,45716,47410,19398,67470.4638375047,0.95437251635861,0.44929079417116,2.12417554229931,0.0336554675623829,0.0606506486446362
"gene-SAOUHSC_00850",52148,50249,41253,18522,21150,7134,29085.2207097591,1.15782459877805,0.406256624701466,2.84998330705096,0.00437215236877287,0.00998672470233871
"gene-SAOUHSC_00851",130240,113618,98298,50192,62091,9566,65898.9366783909,1.38156181078424,0.190963687889558,7.23468333719681,4.6661659887109e-13,6.55895434618285e-12
"gene-SAOUHSC_00852",118,84,129,222,340,16,116.010984543623,-0.612498839407808,0.460167820236068,-1.3310336196338,0.183177948929209,0.258011694766168
"gene-SAOUHSC_00853",151,111,141,305,203,18,123.743234642878,-0.291355648281926,0.444521672793127,-0.655436317539275,0.512186875190457,0.598679840041382
"gene-SAOUHSC_00854",2161,1809,1357,6169,7034,1416,3086.43998264447,-1.67535191522655,0.259017977746891,-6.46809124910892,9.92485631403632e-11,9.75054880171096e-10
"gene-SAOUHSC_00855",1406,1192,865,3192,4162,2377,2851.70514941268,-2.31123119755544,0.579097956308138,-3.99108850649376,6.57707276383996e-05,0.000227876711026301
"gene-SAOUHSC_00857",89,69,59,51,88,47,76.0112373567411,-0.552724335954074,0.622863132358461,-0.887392923484157,0.374867392073217,0.466203049760748
"gene-SAOUHSC_00858",1178,912,628,1511,1759,131,805.978548480162,-0.229933313855701,0.357893705856239,-0.642462580630189,0.5205728778859,0.605641026436865
"gene-SAOUHSC_00859",757,523,470,1001,1127,237,625.099893258301,-0.670810581041341,0.265528240618908,-2.52632480627212,0.0115262860900684,0.0235071057833909
"gene-SAOUHSC_00860",2086,1618,1185,2710,3308,379,1560.76577606957,-0.410854044889532,0.245093758730202,-1.67631377893143,0.0936767473696389,0.147144965352539
"gene-SAOUHSC_00861",10483,9851,7223,17792,19114,4109,10515.4802022019,-0.80322655735124,0.27528035464135,-2.91784918105663,0.00352454778612739,0.00821495364096528
"gene-SAOUHSC_00862",752,672,498,1380,1399,144,659.246240385342,-0.569076149438873,0.295307172135885,-1.92706511434478,0.0539715156488165,0.0909838545206647
"gene-SAOUHSC_00863",948,729,613,901,1038,49,553.803606653697,0.393410292880329,0.449195269066428,0.87581130072443,0.381132625567198,0.472494132374351
"gene-SAOUHSC_00864",434,376,308,948,1105,51,406.612680028601,-0.708362172145067,0.457283566582181,-1.54906544628204,0.121365988228332,0.182481718998276
"gene-SAOUHSC_00865",1101,816,754,2013,2050,341,1030.87666575837,-0.843107921656586,0.209419623262945,-4.0259260737853,5.67515178854634e-05,0.000199943329722436
"gene-SAOUHSC_00866",2223,1764,1459,2962,3531,650,1875.29490534788,-0.576218936910339,0.22925875882898,-2.51339987991551,0.0119573712990829,0.0243139130050343
"gene-SAOUHSC_00867",1,1,2,1,4,1,1.75578023864496,-0.772729185627911,1.47021809187998,-0.525588135458062,0.599174401990599,0.678091261707775
"gene-SAOUHSC_00868",360,351,438,2271,8237,189,1345.83855365735,-2.85615114974656,0.617721496972601,-4.62368747687155,3.76977708439961e-06,1.74248886818538e-05
"gene-SAOUHSC_00869",12821,11308,9052,35931,54220,3399,16304.7768897777,-1.34446282447144,0.361380958735127,-3.72034771609774,0.000198948675058314,0.000623934002671441
"gene-SAOUHSC_00870",7358,5890,5841,14898,14873,651,6267.65455088371,-0.443772149838081,0.493001999639967,-0.900142697518797,0.368044316160034,0.458967002090379
"gene-SAOUHSC_00871",1702,1331,1675,3097,5546,179,1676.06915437309,-0.621396000172161,0.51588995139798,-1.20451270370411,0.228391474955389,0.311763462576057
"gene-SAOUHSC_00872",12558,9715,9176,18496,19964,1043,9142.42348429603,-0.13565783530249,0.439054116112439,-0.308977482100974,0.757338655978597,0.809619834647946
"gene-SAOUHSC_00873",7099,4451,4527,6294,5440,990,4128.74853850148,0.193641915113297,0.251221494464926,0.770801541188714,0.440824573606634,0.530058089664809
"gene-SAOUHSC_00874",1178,619,905,473,500,56,512.964773433754,1.38336063070791,0.308533832357147,4.48365944227012,7.33737315590515e-06,3.20250634081784e-05
"gene-SAOUHSC_00875",11359,8874,7371,9156,8614,3383,7985.05904789984,-0.132965987822063,0.423874805251536,-0.313691651814875,0.753755241858447,0.806732962879345
"gene-SAOUHSC_00876",1294,926,634,1954,3029,468,1222.89192781131,-1.10082122254805,0.283323365983619,-3.88538805730443,0.000102166561969426,0.000336989827145845
"gene-SAOUHSC_00877",1877,1485,939,3032,3167,821,1799.74218525647,-1.04109190218862,0.344927129217579,-3.01829521078901,0.0025420114454599,0.00619346966400496
"gene-SAOUHSC_00878",17669,13543,10818,25517,27315,6372,15682.1405150791,-0.776006287771769,0.287563992104442,-2.6985516583381,0.00696419284240814,0.0150978771852802
"gene-SAOUHSC_00879",2261,1658,1155,2678,3700,487,1688.64514431307,-0.525896497663314,0.249481558231382,-2.10795740331063,0.035034674165564,0.0628880431485337
"gene-SAOUHSC_00880",8011,6901,5354,10000,6434,1071,5317.50365345124,0.159777898275435,0.329995370350833,0.484182242028329,0.628256538488649,0.702878029386689
"gene-SAOUHSC_00881",4887,4115,3208,4586,4768,770,3201.84983367394,0.158494086985422,0.214730637253948,0.738106536693136,0.460449711878462,0.548974623862054
"gene-SAOUHSC_00882",8416,4447,3599,344,475,67,2337.2283636012,4.07698195678114,0.303360927244094,13.4393772916598,3.55414846609645e-41,5.01464069888966e-39
"gene-SAOUHSC_00883",2507,1644,1712,3726,4533,458,1986.33050113807,-0.551757490261042,0.253914621269384,-2.17300401017738,0.0297800154647938,0.0546731563221699
"gene-SAOUHSC_00884",842,699,546,1439,1465,747,1100.58180453426,-1.48944381026938,0.512320443396572,-2.90725039273213,0.0036462120730933,0.00847690185949851
"gene-SAOUHSC_00885",3035,2545,2435,5481,9308,813,3199.10326042231,-0.8996800469495,0.277782291125952,-3.23879554489515,0.00120035586418652,0.00317278247226157
"gene-SAOUHSC_00886",7734,6598,5313,13821,16338,2416,7535.97665104162,-0.822113697170795,0.193410019742952,-4.2506261995289,2.13173682325939e-05,8.33536466840797e-05
"gene-SAOUHSC_00887",1831,1566,1212,3455,5237,507,1886.20192085467,-0.971151484750077,0.258853219130603,-3.75174582727552,0.000175607449978037,0.000558399095579814
"gene-SAOUHSC_00888",1807,1489,1245,3790,4497,504,1843.58854946223,-0.952988050873158,0.228934172560609,-4.16271647091419,3.14483766721954e-05,0.000117920657261953
"gene-SAOUHSC_00889",9482,8047,5924,22060,28595,4105,11329.4540995744,-1.32122981907815,0.213017321461378,-6.20245250486683,5.55899643974529e-10,4.91522878752962e-09
"gene-SAOUHSC_00890",393,231,239,504,591,52,268.530278849617,-0.376527602331541,0.312913676133657,-1.20329544871255,0.228862009679316,0.312220061957237
"gene-SAOUHSC_00891",4595,3319,2633,5130,5295,2596,4301.59974056569,-0.983027993022041,0.502868425377103,-1.95484135295403,0.0506017985212769,0.086363343553437
"gene-SAOUHSC_00892",5882,5391,3680,7015,8804,2177,5201.76038310338,-0.59676697961821,0.337731870097463,-1.76698449999994,0.0772308241615688,0.124450140521376
"gene-SAOUHSC_00893",1693,1265,816,3308,5653,1777,2640.19291821249,-2.04651096981206,0.467683329338364,-4.37584759052088,1.20961514766683e-05,5.02356836326483e-05
"gene-SAOUHSC_00894",5450,5870,2974,15415,19642,2768,7533.78274875146,-1.48815198532727,0.307244348636278,-4.84354551005582,1.27542490854345e-06,6.62109786802575e-06
"gene-SAOUHSC_00895",17559,17257,10930,24448,31702,7538,17324.6976262612,-0.791324642190597,0.341754463354009,-2.31547712478856,0.0205868350279298,0.0395157666747587
"gene-SAOUHSC_00896",2090,1872,1100,880,892,952,1525.67760748844,-0.250442169817924,0.719560915254185,-0.34804860090192,0.727803684296663,0.78570693133405
"gene-SAOUHSC_00897",1305,991,1084,1194,1534,188,884.324146117219,0.181598217075297,0.212955142350222,0.852753378345962,0.39379608296231,0.48468570426569
"gene-SAOUHSC_00898",33696,30356,44121,1917,8035,632,16845.3196219357,3.44120631771243,0.489840728240064,7.02515352301605,2.13830999420169e-12,2.68858151105818e-11
"gene-SAOUHSC_00899",17098,15276,21978,1258,7251,1335,9483.9481724921,2.15416442537776,0.602534792559315,3.57517018432708,0.000350000150488722,0.00104163997012985
"gene-SAOUHSC_00900",9963,7101,5554,21701,21650,3193,9863.0252339266,-1.13051318596129,0.234854521470791,-4.81367434989705,1.48180204027147e-06,7.52151739330391e-06
"gene-SAOUHSC_00901",2684,1993,2118,4233,7161,403,2397.45744431102,-0.625910374445617,0.381653748667068,-1.63999535346271,0.1010061330701,0.156240299517576
"gene-SAOUHSC_00902",2645,2286,2054,3818,5765,1140,2740.81825724996,-0.859149312668017,0.289774688031974,-2.9648873699183,0.00302793764509231,0.00719824552055335
"gene-SAOUHSC_00903",2968,2547,1846,2850,3690,273,1888.10139844672,0.217561976301419,0.336904380213237,0.645767728409222,0.518429790697289,0.604257984947851
"gene-SAOUHSC_00904",6883,5710,4812,6401,7752,908,4516.79326738446,0.194764771277028,0.212703800907136,0.915661922572131,0.359844242287543,0.452586459383777
"gene-SAOUHSC_00905",13271,10716,9907,10960,13053,2394,8854.10518179655,0.182800184571197,0.218762086050983,0.835611818624712,0.403373317762665,0.493812534161441
"gene-SAOUHSC_00906",9507,7678,5793,20178,25670,7530,13061.713606221,-1.64451789095097,0.380975327069297,-4.3165994596071,1.58451302384175e-05,6.37760675234984e-05
"gene-SAOUHSC_00907",1555,1086,1016,1558,1663,505,1185.14254694527,-0.433347042113905,0.361863419117499,-1.19754310388914,0.231094937398554,0.314514013609453
"gene-SAOUHSC_00908",6641,5886,3857,11957,13451,4832,8204.45892419364,-1.39535651901035,0.432375871102028,-3.22718405967915,0.00125015014867406,0.00328854276153128
"gene-SAOUHSC_00909",3258,2658,2086,4138,4567,779,2552.08029330716,-0.388716425148595,0.215821881092233,-1.80109830931589,0.0716873861843207,0.116476067297702
"gene-SAOUHSC_00910",2938,3111,1936,5850,7473,914,3129.61831097187,-0.860271292876392,0.267677129272687,-3.21383935644356,0.00130972926866624,0.00342227638266365
"gene-SAOUHSC_00911",2977,1731,1917,580,553,38,1052.77772195554,2.60600389547031,0.392706913980943,6.63600207353815,3.2230530893305e-11,3.42418159606779e-10
"gene-SAOUHSC_00912",372966,363251,243897,59458,19084,1763,146100.135862973,3.76718715376596,0.6228055625049,6.04873716704533,1.45985595797343e-09,1.19804346730694e-08
"gene-SAOUHSC_00913",483,591,502,92,65,2,242.231557474596,3.48919192665932,0.528673528087181,6.59989907057334,4.11437788763699e-11,4.30439304962328e-10
"gene-SAOUHSC_00914",650,909,638,63,49,4,327.163840364312,4.29527987869423,0.431622017983815,9.95148463175781,2.48448690240328e-23,1.00146744110109e-21
"gene-SAOUHSC_00915",314,453,390,76,88,10,190.029287232069,2.74784622338654,0.377406949579721,7.28085751056394,3.31704894337324e-13,4.7354328925969e-12
"gene-SAOUHSC_00916",240,228,234,145,129,14,137.725961948439,1.30024571559225,0.337712466118112,3.85015611220433,0.000118042561854223,0.000384269194824733
"gene-SAOUHSC_00917",262,319,201,187,219,25,169.650964834364,0.855951669295402,0.326636743117559,2.62050025703122,0.00878008639264927,0.0184697168760125
"gene-SAOUHSC_00918",2094,1677,1770,737,677,478,1246.41526504064,0.715480732275783,0.588018082041507,1.21676654872882,0.223693050756449,0.305654362972794
"gene-SAOUHSC_00919",1688,1354,1034,3841,2779,123,1361.17058296804,-0.513804338690869,0.551989990064069,-0.930821840865687,0.351945729885659,0.444145140707455
"gene-SAOUHSC_00920",2083,1648,1605,4110,7722,3240,4145.00433510928,-2.197663858925,0.545628129737282,-4.02776861959659,5.63087171820847e-05,0.000198638602054175
"gene-SAOUHSC_00921",8562,6869,6072,17966,27902,16727,19023.1358505957,-2.42914843579509,0.612543942193687,-3.96567212320417,7.31894139637411e-05,0.000250709582852689
"gene-SAOUHSC_00922",95,50,48,305,265,14,96.6460289225065,-1.47089838306189,0.501649336709326,-2.93212464449879,0.00336651601737582,0.00788685504583516
"gene-SAOUHSC_00923",572,446,418,5264,4863,472,1600.39044530261,-2.8184455656321,0.318875485348921,-8.83870255045819,9.68365515575669e-19,2.43512832861735e-17
"gene-SAOUHSC_00924",788,648,613,4858,5589,1100,2131.20356670509,-2.69301642841192,0.241057188323721,-11.1716910295801,5.6102496610817e-29,3.94299854385255e-27
"gene-SAOUHSC_00925",1582,1400,1440,8002,11714,3116,4779.53792311127,-2.74414012204189,0.376190582276988,-7.29454763442587,2.99664194648164e-13,4.34592358481808e-12
"gene-SAOUHSC_00926",1792,1331,1755,8377,12549,3055,4926.10494035925,-2.63169230951817,0.367667743358726,-7.157800370185,8.19818194589034e-13,1.0961569128627e-11
"gene-SAOUHSC_00927",7335,4991,6484,22807,30891,6626,12717.3414995268,-1.94551806557257,0.309394391361446,-6.28814910642561,3.21273266884363e-10,2.91592723354317e-09
"gene-SAOUHSC_00928",628,338,354,465,718,109,375.815800340461,-0.126496324521361,0.281742473340545,-0.448978540656396,0.653447137017359,0.722959887198198
"gene-SAOUHSC_00929",301,166,177,197,272,20,150.23326418499,0.441015037598161,0.346966841149803,1.27105816837336,0.203707955678766,0.282286909259605
"gene-SAOUHSC_00930",410,217,242,315,447,75,248.373192043422,-0.124718628341085,0.288503413895774,-0.432295156084846,0.665526907276753,0.733497890167101
"gene-SAOUHSC_00931",404,212,267,778,968,55,341.653072690248,-0.887509173090939,0.417486590833898,-2.12583875165477,0.033516688147859,0.0605041050049974
"gene-SAOUHSC_00932",650,388,437,444,560,136,399.600087049551,0.0563425162013491,0.329149393585288,0.171176120325283,0.864085283573217,0.897143091770526
"gene-SAOUHSC_00933",4206,2852,3390,5276,6556,549,3065.95554723169,-0.160053182566905,0.306165359142031,-0.522767118446786,0.601136324327668,0.679469964941087
"gene-SAOUHSC_00934",379650,308468,284676,204732,253828,36769,208199.848743007,0.886260743541651,0.1750058478894,5.06417787879721,4.10166535814006e-07,2.38192049717413e-06
"gene-SAOUHSC_00935",34604,30050,19436,31772,39829,3351,21372.7308354885,0.239729239945537,0.323188953460704,0.741761862150667,0.458231631295995,0.547282309970511
"gene-SAOUHSC_00936",311,252,258,91,149,12,147.527511176542,1.73015710370187,0.315875864417501,5.47733239097709,4.31785671342595e-08,2.93678542220857e-07
"gene-SAOUHSC_00937",1390,918,804,5979,8309,832,2482.75007745091,-2.27607039443157,0.255331882419287,-8.91416447043608,4.91508251539355e-19,1.32080795830331e-17
"gene-SAOUHSC_00938",3448,2587,2208,3567,4283,469,2279.61031404868,-0.0151247225018548,0.232663665068585,-0.065006809281528,0.948168578701993,0.959014787535853
"gene-SAOUHSC_00939",1402,1001,814,2229,2643,197,1087.94090804468,-0.560560474495891,0.343038982308569,-1.63410138032551,0.102237565079961,0.157700149625308
"gene-SAOUHSC_00940",628,443,344,1345,1016,74,498.279965152812,-0.667032250680283,0.44293756254795,-1.50592839054618,0.132085557501281,0.196231172417893
"gene-SAOUHSC_00941",1519,1225,1038,2098,3007,123,1140.15725638338,-0.242960774025814,0.463964613426179,-0.523662294483309,0.600513445378776,0.679147215538215
"gene-SAOUHSC_00942",4097,3433,2646,4873,6874,965,3286.08777083149,-0.418474662664597,0.213786739970887,-1.95743974917052,0.0502957890024892,0.0860017203093093
"gene-SAOUHSC_00943",7059,5808,4577,7226,8092,1560,5083.01569458978,-0.148630045129961,0.239101692764566,-0.621618539841588,0.534192727171955,0.616677222009686
"gene-SAOUHSC_00944",2352,1723,1666,2470,3426,474,1730.42784662522,-0.239716553904459,0.192081267470958,-1.24799548160366,0.212032711889071,0.292051087079369
"gene-SAOUHSC_00945",3667,3214,2802,3911,6311,1157,3190.90146381291,-0.448298540098959,0.285511973168691,-1.57015670874891,0.116378658246127,0.176142408753524
"gene-SAOUHSC_00946",6194,5076,4768,7528,8847,1212,4777.18705375406,-0.192005738787072,0.183100023607967,-1.04863852556444,0.294344517505013,0.384427422094951
"gene-SAOUHSC_00947",11206,8738,7403,14026,13839,1620,7836.75016505277,-0.106886632520825,0.255004206893983,-0.419156349703919,0.675101870749234,0.741367879696976
"gene-SAOUHSC_00948",4073,3330,2975,12256,12220,683,4508.61792757167,-1.09253990242726,0.436775644669912,-2.50137551340102,0.0123711926577995,0.0250624087768132
"gene-SAOUHSC_00949",1144,1157,735,17412,20025,2336,5956.02698971893,-3.71410474877582,0.27281834516565,-13.6138379789698,3.31374459158774e-42,6.05531595036132e-40
"gene-SAOUHSC_00950",855,735,627,2386,2426,257,993.507471254336,-1.15883693956609,0.276027934069388,-4.19825965612156,2.68974119838347e-05,0.000102999123186821
"gene-SAOUHSC_00951",10039,7116,6490,14052,15341,1087,7102.10694828247,-0.244630266331605,0.362905323866581,-0.674088392325544,0.50025511878046,0.587740797504175
"gene-SAOUHSC_00952",6813,4468,4567,3516,3121,279,3077.79607256975,1.27242862129429,0.348322488197982,3.65301886730626,0.000259175179601834,0.000792856213491771
"gene-SAOUHSC_00953",7460,5495,4985,5981,6925,632,4263.94482144188,0.463701341968737,0.283108222347897,1.63789429400224,0.101443746478478,0.15674030952509
"gene-SAOUHSC_00954",5050,4161,4028,4871,6228,1675,4140.07362020739,-0.31435279893002,0.348659338792032,-0.90160441426617,0.367267045268766,0.458206177096808
"gene-SAOUHSC_00955",927,636,937,754,1435,199,710.499925996603,-0.0347941457730919,0.323513774810912,-0.107550739666119,0.914352074286304,0.937262167396694
"gene-SAOUHSC_00956",11108,8184,9616,7762,9933,2209,7380.16254369816,0.268152870518571,0.299623745686944,0.894965350305528,0.37080561074262,0.461780181301918
"gene-SAOUHSC_00957",3856,3440,2449,8444,7005,4131,5792.10904751563,-1.71991151628708,0.531405169031786,-3.23653516472326,0.00120990318418776,0.0031918620094886
"gene-SAOUHSC_00958",2718,2023,2069,2217,3074,267,1678.63941534761,0.35747789971421,0.275419296099504,1.29794064822916,0.194307730732814,0.271872123501094
"gene-SAOUHSC_00959",7465,5509,6098,4654,5729,548,4116.09645514375,0.854837078802339,0.266075409794126,3.21276242499734,0.00131464986049385,0.0034285968293184
"gene-SAOUHSC_00960",3044,2001,2088,4411,4835,729,2453.12736874592,-0.584145243193138,0.200169614101618,-2.91825133307492,0.00352000504674305,0.00821134794308315
"gene-SAOUHSC_T00049",295,242,114,187,13,333,335.797948601048,-1.48250114681041,1.54166242552378,-0.961625010940207,0.336238003273946,0.428465070652667
"gene-SAOUHSC_T0008",287,257,275,103,53,71,180.163748624431,0.868773757340007,0.703051771940227,1.23571803957258,0.216563389644445,0.296948599807616
"gene-SAOUHSC_00961",15878,9827,17333,545,560,54,6202.4640069906,5.28139195896797,0.365662935650784,14.4433341311131,2.76153615113697e-47,1.08133865575235e-44
"gene-SAOUHSC_00962",2854,3031,1642,40532,64287,13494,21043.1089180531,-4.26000691483215,0.368107967893354,-11.572710417576,5.66638490987603e-31,4.19771919945141e-29
"gene-SAOUHSC_00963",1624,1315,1013,2449,3628,268,1360.09143659122,-0.585890182944787,0.323597828255538,-1.81055041717438,0.0702104733017967,0.114347538514691
"gene-SAOUHSC_00964",1866,1635,1318,2208,2393,82,1212.55384285926,0.294755246318136,0.533076926617499,0.552931915827663,0.580310031944611,0.65973861367075
"gene-SAOUHSC_00965",6304,4512,5120,7930,6176,690,4200.90795565897,0.154697526475113,0.335242400738489,0.461449763318535,0.644475955816723,0.714318073147448
"gene-SAOUHSC_00966",2464,2140,1176,2275,809,1533,2168.10657034983,-0.79751125029529,0.757456970154368,-1.05287994132889,0.292396020395674,0.382374757588046
"gene-SAOUHSC_00967",13,22,16,7,16,1,10.3614769543047,1.13989489657106,0.706854016087717,1.61263127976569,0.106824638540522,0.164037162038975
"gene-SAOUHSC_00968",426,267,314,943,964,122,424.001230605169,-1.0453366800931,0.257144717668604,-4.06516878732962,4.79977130859816e-05,0.000170920214971485
"gene-SAOUHSC_00969",227,132,203,223,291,26,149.644553756349,0.0950911838468001,0.341229305551008,0.278672383350103,0.780496258130296,0.828316103421764
"gene-SAOUHSC_00970",602,397,435,408,303,49,307.699877948791,0.839471464486681,0.306169846553769,2.74184892449641,0.00610944339961353,0.0134614022173157
"gene-SAOUHSC_00971",1017,541,1025,1033,289,44,539.213750521601,1.00615276223555,0.613275017130779,1.6406224518045,0.100875811449427,0.156126820543693
"gene-SAOUHSC_00972",114,78,83,385,366,22,133.029797368089,-1.35411684111012,0.435518098625385,-3.10920911297163,0.00187588899241047,0.00472592989723997
"gene-SAOUHSC_00973",368,250,341,985,814,76,378.649729052217,-0.881718456492499,0.379161164902863,-2.32544505637434,0.0200481746152135,0.0386986243804931
"gene-SAOUHSC_00974",2228,1419,1510,1637,1764,91,1130.9821774985,0.739223829378495,0.442149743509842,1.67188569083053,0.0945468649469632,0.148341703960862
"gene-SAOUHSC_00975",866,586,573,4167,3588,105,1181.8086142697,-1.70067337899972,0.600673180090098,-2.83127903054475,0.00463622559577446,0.0105197800976968
"gene-SAOUHSC_00976",1245,1023,1072,325,295,59,572.833931635782,2.15360730204278,0.263504367747391,8.17294726631376,3.00945546228424e-16,5.90613564465535e-15
"gene-SAOUHSC_00977",506,492,279,2346,2830,211,864.723555929829,-1.96945216102923,0.375593095501801,-5.2435792473714,1.57491119023549e-07,9.78873372434349e-07
"gene-SAOUHSC_00978",90,78,73,162,127,8,70.1980130671101,-0.187091743821424,0.458489318063555,-0.408061292707128,0.6832286765887,0.748194088106124
"gene-SAOUHSC_00979",448,305,303,666,713,66,336.237499820485,-0.410981933302855,0.300680810259553,-1.36683792007906,0.171676114051572,0.244448949930056
"gene-SAOUHSC_00980",8447,5272,6947,4315,4712,529,4178.0213752588,1.1221061061465,0.269958426720997,4.15658855245219,3.23034996827581e-05,0.000120632006308501
"gene-SAOUHSC_00981",341,250,190,154,114,21,150.013441374575,1.30955853684211,0.333295489461812,3.92912169005562,8.52566895811828e-05,0.000287793825298057
"gene-SAOUHSC_00982",2780,1896,1705,1400,1532,128,1271.90621268531,1.12968297615755,0.319898456704431,3.53137988784146,0.000413397564051289,0.00121972306034939
"gene-SAOUHSC_00983",7607,5630,4255,6825,8713,2128,5463.16893216876,-0.356171651157219,0.331391511498701,-1.07477602412461,0.282475017215666,0.370993781594701
"gene-SAOUHSC_00984",4955,3314,3101,3698,4237,660,2843.24063250468,0.280778834732336,0.199799831510537,1.40530065821166,0.159931892721938,0.229154896994684
"gene-SAOUHSC_00985",12168,9530,6983,11714,11529,3677,8892.52692429351,-0.330810988167656,0.376093747406613,-0.879597149510707,0.379077583602372,0.470371958648303
"gene-SAOUHSC_00986",2105,1088,1815,329,449,52,809.72897391676,2.56235411116065,0.314287093995127,8.15290910800294,3.55272632233436e-16,6.90639918405565e-15
"gene-SAOUHSC_00987",5801,3192,5389,1011,1102,133,2314.25229953225,2.66773277523383,0.313834996712388,8.50043112839534,1.88887845869729e-17,4.20928118316201e-16
"gene-SAOUHSC_00988",4274,2306,4046,645,702,204,1759.30708440343,2.41124740504795,0.400659299252314,6.01819902732242,1.76368264949342e-09,1.42183945360631e-08
"gene-SAOUHSC_00989",2682,2369,1801,8768,13408,1428,4224.14361832895,-1.78647251817126,0.243181096149731,-7.34626394261869,2.03823697808221e-13,3.01989597671532e-12
"gene-SAOUHSC_00991",941,674,783,1467,1265,81,681.401436625823,-0.0695369474824814,0.435222722558299,-0.159773246841832,0.873059699245663,0.905431946890792
"gene-SAOUHSC_00992",1645,1061,1457,299,261,16,650.283024050091,2.99148230851145,0.431209460377787,6.93742272233681,3.99317623131453e-12,4.75882436957962e-11
"gene-SAOUHSC_00993",341,224,298,64,41,2,132.868069579549,3.08336068444191,0.481521803277543,6.40336670832889,1.51987547978174e-10,1.4465203785006e-09
"gene-SAOUHSC_00994",25567,24067,24085,62464,62761,19001,36508.7177730238,-1.33329740016378,0.36243579132646,-3.67871339440322,0.000234413511131177,0.000723566930192068
"gene-SAOUHSC_00995",554,426,412,694,837,191,483.20884043673,-0.573900060671506,0.291539315192071,-1.96851687153553,0.0490085968183195,0.0841682731071514
"gene-SAOUHSC_00996",14243,8647,10140,7564,9201,575,6699.65790096922,1.07388254609918,0.385380799149964,2.78654917024369,0.00532725354204672,0.0119394946514718
"gene-SAOUHSC_00997",26517,17473,19810,16255,23808,3268,15201.3189958756,0.464414441617016,0.213797166580719,2.17221981490422,0.029839086785752,0.0547449376705128
"gene-SAOUHSC_00998",12302,8002,11623,2064,1964,93,4951.38632596487,3.17135553357928,0.494944596589409,6.40749602164087,1.47928946044813e-10,1.41658304383961e-09
"gene-SAOUHSC_00999",12096,11182,7223,19454,14743,2407,9531.55692423377,-0.33491263074473,0.308042716985984,-1.08722788196927,0.276936111476091,0.365470332959059
"gene-SAOUHSC_01000",24975,23342,16780,39795,40330,10853,24878.7469085329,-0.809460075226465,0.331806204967098,-2.43955677473461,0.0147052917394396,0.0293784290508775
"gene-SAOUHSC_01001",73498,72331,54143,132037,149281,56598,95802.7148523159,-1.28337834860796,0.442263306821928,-2.90184224829825,0.00370975300979273,0.00858820354716375
"gene-SAOUHSC_01002",30794,32120,23169,71600,85732,18352,41008.7704075169,-1.26697131502847,0.29419560840766,-4.3065609370785,1.65812266481797e-05,6.66409710302939e-05
"gene-SAOUHSC_01003",84,42,86,38,47,4,41.2497381276596,1.2618210662917,0.470676555198554,2.68086662136678,0.00734317777737628,0.0157493351234651
"gene-SAOUHSC_01005",24488,20356,18248,9921,18170,765,12184.5835753784,1.35726811593406,0.447485191294603,3.03310174803193,0.00242053971538454,0.00593443592117086
"gene-SAOUHSC_01007",20032,14201,14027,12097,15074,1729,10687.1217772611,0.724719460626597,0.209453323554471,3.4600523320802,0.000540070417048469,0.0015484654949057
"gene-SAOUHSC_01008",1795,1945,1232,7031,7409,3199,4382.79172757774,-2.40963164678968,0.482298973526037,-4.9961367928551,5.84901785209764e-07,3.29202421613956e-06
"gene-SAOUHSC_01009",5064,5647,3861,14392,23994,3871,8635.62613172043,-1.69040572799865,0.300810788538791,-5.61949834382573,1.91512714924064e-08,1.35292874125479e-07
"gene-SAOUHSC_01010",1525,1605,1149,4117,7422,1801,3005.15877818645,-2.006087717298,0.400952536526144,-5.00330471700905,5.63557525049376e-07,3.19815978501105e-06
"gene-SAOUHSC_01011",1213,1142,888,2930,3583,460,1448.49147668031,-1.14346509292175,0.218449696026644,-5.23445495104872,1.65472421722744e-07,1.02383726397752e-06
